"filename", "language", "JSON with Comments", "HTML", "JavaScript", "JSON", "vue", "Markdown", "CSS", "SCSS", "XML", "comment", "blank", "total"
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\location.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 6, 29
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\recommendcrops.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 8, 21
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\token.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 11, 4, 31
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\userInfo.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 9, 26
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\utils\china.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 3, 2, 65
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\utils\exportExcel.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 3, 21
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\utils\request.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 17, 13, 68
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\Layout.vue", "vue", 0, 0, 0, 0, 568, 0, 0, 0, 0, 24, 54, 646
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\LayoutAdmin.vue", "vue", 0, 0, 0, 0, 445, 0, 0, 0, 0, 2, 46, 493
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\Login.vue", "vue", 0, 0, 0, 0, 562, 0, 0, 0, 0, 10, 31, 603
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\argomanagement\CropCalendar.vue", "vue", 0, 0, 0, 0, 2097, 0, 0, 0, 0, 14, 140, 2251
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\argomanagement\RecommendArgo.vue", "vue", 0, 0, 0, 0, 2049, 0, 0, 0, 0, 14, 140, 2203
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\article\ArticleCategory.vue", "vue", 0, 0, 0, 0, 172, 0, 0, 0, 0, 1, 18, 191
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\article\ArticleManage.vue", "vue", 0, 0, 0, 0, 275, 0, 0, 0, 0, 12, 35, 322
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\commpany\Commpany.vue", "vue", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 16, 180
